,date,home_team,away_team,home_score,away_score,tournament,city,country,score_sum,score_diff
212,2011-06-07,Norway,Lithuania,1,0,Friendly,Oslo,Norway,1,1
213,2011-08-10,Lithuania,Armenia,3,0,Friendly,Kaunas,Lithuania,3,3
214,2011-08-10,Lithuania,Armenia,3,0,Friendly,Kaunas,Lithuania,3,3
215,2011-09-02,Lithuania,Liechtenstein,0,0,UEFA Euro qualification,Kaunas,Lithuania,0,0
216,2011-09-02,Lithuania,Liechtenstein,0,0,UEFA Euro qualification,Kaunas,Lithuania,0,0
217,2011-09-06,Scotland,Lithuania,1,0,UEFA Euro qualification,Glasgow,Scotland,1,1
218,2011-09-06,Scotland,Lithuania,1,0,UEFA Euro qualification,Glasgow,Scotland,1,1
219,2011-10-11,Lithuania,Czech Republic,1,4,UEFA Euro qualification,Kaunas,Lithuania,5,-3
220,2011-10-11,Lithuania,Czech Republic,1,4,UEFA Euro qualification,Kaunas,Lithuania,5,-3
221,2012-05-29,Lithuania,Russia,0,0,Friendly,Nyon,Switzerland,0,0
222,2012-05-29,Lithuania,Russia,0,0,Friendly,Nyon,Switzerland,0,0
223,2012-06-01,Latvia,Lithuania,5,0,Baltic Cup,Veru,Estonia,5,5
224,2012-06-01,Latvia,Lithuania,5,0,Baltic Cup,Veru,Estonia,5,5
225,2012-06-03,Estonia,Lithuania,1,0,Baltic Cup,Tartu,Estonia,1,1
226,2012-06-03,Estonia,Lithuania,1,0,Baltic Cup,Tartu,Estonia,1,1
227,2012-06-07,Belarus,Lithuania,1,1,Friendly,Minsk,Belarus,2,0
228,2012-06-07,Belarus,Lithuania,1,1,Friendly,Minsk,Belarus,2,0
229,2012-08-15,North Macedonia,Lithuania,1,0,Friendly,Skopje,North Macedonia,1,1
230,2012-08-15,North Macedonia,Lithuania,1,0,Friendly,Skopje,North Macedonia,1,1
231,2012-09-07,Lithuania,Slovakia,1,1,FIFA World Cup qualification,Vilnius,Lithuania,2,0
232,2012-09-07,Lithuania,Slovakia,1,1,FIFA World Cup qualification,Vilnius,Lithuania,2,0
233,2012-09-11,Greece,Lithuania,2,0,FIFA World Cup qualification,Piraeus,Greece,2,2
234,2012-09-11,Greece,Lithuania,2,0,FIFA World Cup qualification,Piraeus,Greece,2,2
235,2012-10-12,Liechtenstein,Lithuania,0,2,FIFA World Cup qualification,Vaduz,Liechtenstein,2,-2
236,2012-10-12,Liechtenstein,Lithuania,0,2,FIFA World Cup qualification,Vaduz,Liechtenstein,2,-2
237,2012-10-16,Bosnia and Herzegovina,Lithuania,3,0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,3,3
238,2012-10-16,Bosnia and Herzegovina,Lithuania,3,0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,3,3
239,2012-11-14,Armenia,Lithuania,4,2,Friendly,Yerevan,Armenia,6,2
240,2012-11-14,Armenia,Lithuania,4,2,Friendly,Yerevan,Armenia,6,2
241,2013-03-22,Slovakia,Lithuania,1,1,FIFA World Cup qualification,�ilina,Slovakia,2,0
242,2013-03-22,Slovakia,Lithuania,1,1,FIFA World Cup qualification,�ilina,Slovakia,2,0
243,2013-03-26,Albania,Lithuania,4,1,Friendly,Tirana,Albania,5,3
244,2013-03-26,Albania,Lithuania,4,1,Friendly,Tirana,Albania,5,3
245,2013-06-07,Lithuania,Greece,0,1,FIFA World Cup qualification,Vilnius,Lithuania,1,-1
246,2013-06-07,Lithuania,Greece,0,1,FIFA World Cup qualification,Vilnius,Lithuania,1,-1
247,2013-08-14,Luxembourg,Lithuania,2,1,Friendly,Luxembourg,Luxembourg,3,1
248,2013-08-14,Luxembourg,Lithuania,2,1,Friendly,Luxembourg,Luxembourg,3,1
249,2013-09-06,Latvia,Lithuania,2,1,FIFA World Cup qualification,Riga,Latvia,3,1
250,2013-09-06,Latvia,Lithuania,2,1,FIFA World Cup qualification,Riga,Latvia,3,1
251,2013-09-10,Lithuania,Liechtenstein,2,0,FIFA World Cup qualification,Marijampol?,Lithuania,2,2
252,2013-09-10,Lithuania,Liechtenstein,2,0,FIFA World Cup qualification,Marijampol?,Lithuania,2,2
253,2013-10-11,Lithuania,Latvia,2,0,FIFA World Cup qualification,Vilnius,Lithuania,2,2
254,2013-10-11,Lithuania,Latvia,2,0,FIFA World Cup qualification,Vilnius,Lithuania,2,2
255,2013-10-15,Lithuania,Bosnia and Herzegovina,0,1,FIFA World Cup qualification,Kaunas,Lithuania,1,-1
256,2013-10-15,Lithuania,Bosnia and Herzegovina,0,1,FIFA World Cup qualification,Kaunas,Lithuania,1,-1
257,2013-11-18,Moldova,Lithuania,1,1,Friendly,Chi?in?u,Moldova,2,0
258,2013-11-18,Moldova,Lithuania,1,1,Friendly,Chi?in?u,Moldova,2,0
259,2014-03-05,Kazakhstan,Lithuania,1,1,Friendly,Antalya,Turkey,2,0
260,2014-03-05,Kazakhstan,Lithuania,1,1,Friendly,Antalya,Turkey,2,0
261,2014-05-29,Finland,Lithuania,0,1,Baltic Cup,Ventspils,Latvia,1,-1
262,2014-05-29,Finland,Lithuania,0,1,Baltic Cup,Ventspils,Latvia,1,-1
263,2014-05-31,Latvia,Lithuania,1,0,Baltic Cup,Liepoja,Latvia,1,1
264,2014-05-31,Latvia,Lithuania,1,0,Baltic Cup,Liepoja,Latvia,1,1
265,2014-06-06,Poland,Lithuania,2,1,Friendly,Gda?sk,Poland,3,1
266,2014-06-06,Poland,Lithuania,2,1,Friendly,Gda?sk,Poland,3,1
267,2014-09-03,Lithuania,United Arab Emirates,1,1,Friendly,Matrei in Osttirol,Austria,2,0
268,2014-09-03,Lithuania,United Arab Emirates,1,1,Friendly,Matrei in Osttirol,Austria,2,0
269,2014-09-08,San Marino,Lithuania,0,2,UEFA Euro qualification,Serravalle,San Marino,2,-2
270,2014-09-08,San Marino,Lithuania,0,2,UEFA Euro qualification,Serravalle,San Marino,2,-2
271,2014-10-09,Lithuania,Estonia,1,0,UEFA Euro qualification,Vilnius,Lithuania,1,1
272,2014-10-09,Lithuania,Estonia,1,0,UEFA Euro qualification,Vilnius,Lithuania,1,1
273,2014-10-12,Lithuania,Slovenia,0,2,UEFA Euro qualification,Vilnius,Lithuania,2,-2
274,2014-10-12,Lithuania,Slovenia,0,2,UEFA Euro qualification,Vilnius,Lithuania,2,-2
275,2014-11-15,Switzerland,Lithuania,4,0,UEFA Euro qualification,St. Gallen,Switzerland,4,4
276,2014-11-15,Switzerland,Lithuania,4,0,UEFA Euro qualification,St. Gallen,Switzerland,4,4
277,2014-11-18,Ukraine,Lithuania,0,0,Friendly,Ky�v,Ukraine,0,0
278,2014-11-18,Ukraine,Lithuania,0,0,Friendly,Ky�v,Ukraine,0,0
279,2015-03-27,England,Lithuania,4,0,UEFA Euro qualification,London,England,4,4
280,2015-03-27,England,Lithuania,4,0,UEFA Euro qualification,London,England,4,4
